id,title,acronym,rank,tier
99,Medical Image Computing and Computer-Assisted Intervention,MICCAI,A,1
100,ACM Symposium on Mobile Ad Hoc Networking and Computing,MOBIHOC,A,1
101,"International Conference on Model Driven Engineering Languages and Systems (Previously UML, changed in 2005)",MODELS,A,1
102,IEEE International Working Conference on Mining Software Repositories,MSR,A,1
103,"ACM/IEEE International Conference on Modelling, Analysis and Simulation of Wireless and Mobile Systems",MSWIM,A,1
104,ACM Conference on Object Oriented Programming Systems Languages and Applications,OOPSLA,A,1
105,Privacy Enhancing Technologies Symposium (was International Workshop of Privacy Enhancing Technologies),PETS,A,1
106,European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Database (PKDD and ECML combined from 2008),ECML PKDD,A,1
107,IEEE/IFIP International Conference on Dependable Systems and Networks,DSN,A,1
108,"ACM SIGMOBILE International Conference on Mobile Systems, Applications and Services",Mobisys,A,1
109,IEEE International Conference on Web Services,ICWS,A,1
110,"Conference on Interactive Theorem Proving (previously TPHOLs, changed in 2009)",ITP,A,1
111,International Conference on Concurrency Theory,CONCUR,A,1
112,ACM Virtual Reality Software and Technology,VRST,A,1
113,International Symposium on Theoretical Aspects of Computer Science,STACS,A,1
114,North American Association for Computational Linguistics,NAACL,A,1
115,British Machine Vision Conference,BMVC,A,1
116,International Symposium on Computational Geometry,SoCG,A,1
117,International Symposium on Algorithms and Computation,ISAAC,A,1
118,IEEE International Requirements Engineering Conference,RE,A,1
119,ACM/IEEE International Conference on Human-Robot Interaction,HRI,A,1
120,International Conference on Web and Social Media,ICWSM,A,1
121,IEEE/RSJ International Conference on Intelligent Robots and Systems,IROS,A,1
122,International Conference on Theory and Applications of Satisfiability Testing,SAT,A,1
123,European Association for Computational Linguistics,EACL,A,1
124,Conference on Integer Programming and Combinatorial Optimization,IPCO,A,1
125,International Computing Education Research Workshop,ICER,A,1
126,ACM Special Interest Group on Computer Science Education Conference,SIGCSE,A,1
127,ACM/IFIP/USENIX International Middleware Conference,Middleware,A,1
128,IEEE Conference on Computational Complexity,CCC,A,1
129,International Conference on Artificial Intelligence in Education,AIED,A,1
130,European Conference on Information Retrieval,ECIR,A,1
131,Annual Computer Security Applications Conference,ACSAC,A,1
132,European Symposium on Algorithms,ESA,A,1
133,ACM International Conference on Web Search and Data Mining,WSDM,A,1
134,International Conference on Artificial Intelligence and Statistics,AISTATS,A,1
135,Workshop on Algorithm Engineering and Experiments,ALENEX,A,1
136,International Workshop on Approximation Algorithms for Combinatorial Optimization Problems and International Conference on Randomization and Computation,APPROX/RANDOM,A,1
137,"Asia Conference on Information, Computer and Communications Security",AsiaCCS,A,1
138,International Conference on the Theory and Application of Cryptology and Information Security,ASIACRYPT,A,1
139,International ACM SIGACCESS Conference on Computers and Accessibility,ASSETS,A,1
140,International Conference in Business Process Management,BPM,A,1
141,International Conference on Automated Deduction,CADE,A,1
142,International Conference on Advanced Information Systems Engineering,CaiSE,A,1
143,International Symposium on Code Generation and Optimization,CGO,A,1
144,Workshop on Cryptographic Hardware and Embedded Systems,CHES,A,1
145,Conference on Innovative Data Systems Research,CIDR,A,1
146,ACM International Conference on Information and Knowledge Management,CIKM,A,1
147,ACM International Conference on Emerging Networking Experiments and Technologies,CoNEXT,A,1
148,International Conference on Principles and Practice of Constraint Programming,CP,A,1
149,ACM Conference on Computer Supported Cooperative Work,CSCW,A,1
150,IEEE Computer Security Foundations Symposium (was CSFW),CSF,A,1
151,Designing Interactive Systems,DIS,A,1
152,International Symposium on Distributed Computing (was WDAG),DISC,A,1
153,International Conference on Evaluation and Assessment in Software Engineering,EASE,A,1
154,European Conference on Artificial Intelligence,ECAI,A,1
155,European Conference on Object-Oriented Programming,ECOOP,A,1
156,European Conference on Software Architecture,ECSA,A,1
157,Extending Database Technology,EDBT,A,1
158,International Conference on Conceptual Modelling,ER,A,1
159,International Symposium on Empirical Software Engineering and Measurement,ESEM,A,1
160,European Symposium on Programming,ESOP,A,1
161,European Symposium On Research In Computer Security,ESORICS,A,1
162,Eurosys Conference,EuroSys,A,1
163,Conference on File and Storage Technologies,FAST,A,1
164,Financial Cryptography and Data Security Conference,FC,A,1
165,International Symposium on Formal Methods (was Formal Methods Europe FME),FM,A,1
166,Foundations of Genetic Algorithms,FOGA,A,1
167,Foundations of Software Science and Computational Structures,FOSSACS,A,1
168,Graph Drawing,GD,A,1
169,Genetic and Evolutionary Computations,GECCO,A,1
170,USENIX Workshop on Hot Topics in Operating Systems,HotOS,A,1
171,ACM International Symposium on High Performance Distributed Computing,HPDC,A,1
172,International Colloquium on Automata Languages and Programming,ICALP,A,1
173,IEEE/ACM International Conference on Computer-Aided Design,ICCAD,A,1
174,IEEE International Conference on Document Analysis and Recognition,ICDAR,A,1
175,International Conference on Distributed Computing Systems,ICDCS,A,1
176,International Conference on Database Theory,ICDT,A,1
177,Australian Computer Human Interaction Conference,OZCHI,Australasian B,4
178,Australasian Joint Conference on Artificial Intelligence,AI,Australasian B,4
179,Australasian Computing Education Conference (ACE),ACE,Australasian B,4
180,Australasian Conference on Information Security and Privacy,ACISP,Australasian B,4
181,Australasian Database Conference,ADC,Australasian B,4
182,Australasian Document Computing Symposium,ADCS,Australasian B,4
183,Australasian Language Technology Workshop,ALTA,Australasian C,4
184,Image and Vision Computing Conference,IVCNZ,Australasian C,4
185,Digital Image Computing Techniques and Applications,DICTA,Australasian C,4
186,Australasian Information Security Conference,AISC,Australasian C,4
187,Australian Data Mining Conference,AusDM,Australasian C,4
188,Australasian Conference on Combinatorial Mathematics and Combinatorial Computing,ACCMCC,Australasian C,4
189,Australasian Conference on Robotics and Automation,ACRA,Australasian C,4
190,Australian Institute of Computer Ethics Conference,AICE,Australasian C,4
191,Asia-Pacific Conference on Conceptual Modelling,APCCM,Australasian C,4
192,National Conference of The Australian Society for Operations Research,ASOR,Australasian C,4
193,Australasian Symposium on Parallel and Distributed Computing (was AusGrid),AusPDC,Australasian C,4
194,Health Informatics Conference,HIC,Australasian C,4
195,Simulation Technology and Training Conference,SimTecT,Australasian C,4
196,Australasian Speech Science and Technology,SST,Australasian C,4
197,International Conference on Information Technology and Applications,ICITA,Australasian C,4
198,Interactive Entertainment,IE,Australasian C,4
199,International Telecommunication Networks and Applications Conference (was Australian Telecommunication Networks and Applications Conference),ITNAC,Australasian C,4
200,International Congress on Modelling and Simulation,MODSIM,Australasian C,4
201,New Zealand Game Developers Conference,NZGDC,Australasian C,4
202,IEEE International Conference on Engineering of Complex Computer Systems,ICECCS,B,2
203,International Conference on Frontiers of Handwriting Recognition,ICFHR,B,2
204,International Conference on Graph Transformations,ICGT,B,2
205,IEEE International Conference on Image Processing,ICIP,B,2
206,International Conference on Multimodal Interaction (was International Conference on Multimodal Interfaces),ICMI,B,2
207,International Conference on Multimedia Retrieval (previously MIR),ICMR,B,2
208,International Conference on Neural Information Processing,ICONIP,B,2
209,International Conference on Parallel and Distributed Systems,ICPADS,B,2
210,ACM/SPEC International Conference on Performance Engineering,ICPE,B,2
211,International Conference on Pattern Recognition,ICPR,B,2
212,International Conference on Software Reuse,ICSR,B,2
213,International Conference on Software and System Processes (was ICSP prior to 2011),ICSSP,B,2
214,International Conference on Tools with Artificial Intelligence,ICTAI,B,2
215,International Conference on Web Engineering,ICWE,B,2
216,Intelligent Data Analysis,IDA,B,2
217,The International Conference on Intelligent Environments,IE,B,2
218,IEEE Consumer Communications and Networking Conference,IEEE CCNC,B,2
219,Intelligent Vehicles Conference,IEEE-IV,B,2
220,IFIP Information Security & Privacy Conference,IFIP SEC,B,2
221,International Joint Conference on Natural Language Processing,IJCNLP,B,2
222,IEEE International Joint Conference on Neural Networks,IJCNN,B,2
223,Inductive Logic Programming,ILP,B,2
224,IFIP/IEEE International Symposium on Integrated Management (even years sharing with NOMS),IM,B,2
225,International Natural Language Generation Conference,INLG,B,2
226,IFIP TC13 Conference on Human-Computer Interaction,Interact,B,2
227,International Symposium on Parameterized and Exact Computation (was IWPEC pre 2004),IPEC,B,2
228,IEEE International Symposium on Information Theory,ISIT,B,2
229,IEEE International Symposium on Performance Analysis of Systems and Software,ISPASS,B,2
230,International Conference on Intelligent Tutoring Systems,ITS,B,2
231,Information Theory Workshop,ITW,B,2
232,Intelligent Virtual Agents,IVA,B,2
233,ACM International Wireless Communications and Mobile Computing Conference,IWCMC,B,2
234,IEEE International Workshop on Quality of Service,IWQoS,B,2
235,Knowledge capture,K-CAP,B,2
236,International Conference on Knowledge-Based and Intelligent Information and Engineering Systems,KES,B,2
237,International Symposium on Latin American Theoretical Informatics,LATIN,B,2
238,IEEE Conference on Local Computer Networks,LCN,B,2
239,"ACM SIGPLAN Conference on Languages, Tools, and Compilers for Embedded Systems",LCTES,B,2
240,International Conference on Logic Programming and Non-monotonic Reasoning,LPNMR,B,2
241,Symposium Model Analysis and Simulation of Computer and Telecommunications Systems,MASCOTS,B,2
242,IEEE International Conference on Mobile Ad-hoc and Sensor Systems,MASS,B,2
243,International Conference on Modelling Decisions for Artificial Intelligence,MDAI,B,2
244,International Conference on Mobile Data Management,MDM,B,2
245,International Conference on Mathematical Foundations of Programming Semantics,MFPS,B,2
246,International Conference on Multimedia Modelling,MMM,B,2
247,International Conference on Human-Computer Interaction with Mobile Devices and Services,MobileHCI,B,2
248,Mathematics of Program Construction,MPC,B,2
249,Mobile and Ubiquitous Multimedia (ACM),MUM,B,2
250,IEEE International Symposium on Network Computing and Applications,NCA,B,2
251,IFIP International Conference on Networking,Networking,B,2
252,IEEE Network Operations and Management Symposium,NOMS,B,2
253,Network and Operating System Support for Digital Audio and Video,NOSSDAV,B,2
254,International Conference on network and System Security,NSS,B,2
255,International Conference on Principles of Distributed Systems,OPODIS,B,2
256,International Conference on Parallel Architecture and Compilation Techniques,PACT,B,2
257,ACM SIGSIM Conference on Principles of Advanced Discrete Simulation (was Parallel and Distributed Simulation),PADS,B,2
258,Passive and Active Measurement Conference,PAM,B,2
259,INTERNATIONAL SYMPOSIUM ON PERVASIVE DISPLAYS,PerDis,B,2
260,International Conference on the Application and Theory of Petri Nets and Concurrency,Petri Nets,B,2
261,IEEE International Symposium on Personal and Indoor Mobile Radio Conference,PIMRC,B,2
262,International Conference on Practice and Theory in Public Key Cryptography,PKC,B,2
263,International Symposium on Automated Technology for Verification and Analysis,ATVA,B,2
264,Advanced Visual Interfaces,AVI,B,2
265,IEEE International Conference on Big Data,BigData,B,2
266,Conference on Algebra and Coalgebra in Computer Science,CALCO,B,2
267,International Conference on Cryptology and Network Security,CANS,B,2
268,Computer Algebra in Scientific Computing,CASC,B,2
269,"International Conference on Compilers, Architecture, and Synthesis for Embedded Systems",CASES,B,2
270,International Conference on Compiler Construction,CC,B,2
271,IEEE Congress on Evolutionary Computation,CEC,B,2
272,IEEE International Conference on Cloud Computing,CLOUD,B,2
273,International Conference on Network and Service Management (amalgamation of DSOM and related workshops from 2010),CNSM,B,2
274,International Computer Software and Applications Conference,COMPSAC,B,2
275,International Conference on Cooperative Information Systems,CoopIS,B,2
276,International Conference on Integration of Artificial Intelligence and Operations Research Techniques in Constraint Programming for Combinatorial Optimization Problems,CPAIOR,B,2
277,Combinatorial Pattern Matching,CPM,B,2
278,Computer Supported Collaborative Learning,CSCL,B,2
279,International Conference on Computer Supported Education,CSEDU,B,2
280,Annual Conference on Computer Science Logic,CSL,B,2
